value,latitude,longitude,name,note
63269,48.0517637,-122.1770818,Marysville Washington,
72326,33.7825194,-117.2286478,Perris California,
390113,41.49932,-81.6943605,Cleveland Ohio,
182544,42.2625932,-71.8022934,Worcester Massachusetts,
133358,34.0007104,-81.0348144,Columbia South Carolina,
109676,41.5581525,-73.0514965,Waterbury Connecticut,
65453,44.8041322,-93.1668858,Eagan Minnesota,
73006,42.4733688,-83.2218731,Southfield Michigan,
124276,30.2240897,-92.0198427,Lafayette Louisiana,
214237,43.6187102,-116.2146068,Boise City Idaho,
51265,41.6819935,-85.9766671,Elkhart Indiana,
82882,33.8675143,-117.9981181,Buena Park California,
59089,33.952602,-84.5499327,Marietta Georgia,
48608,39.5186002,-104.7613633,Parker Colorado,
102436,26.7153424,-80.0533746,West Palm Beach Florida,
42544,42.51954,-70.8967155,Salem Massachusetts,
199963,41.7605849,-88.3200715,Aurora Illinois,
47673,39.1156615,-77.5636015,Leesburg Virginia,
50213,25.8195424,-80.3553302,Doral Florida,
91739,33.7513419,-117.9939921,Westminster California,
239538,33.5778631,-101.8551665,Lubbock Texas,
181260,38.9822282,-94.6707917,Overland Park Kansas,
172638,32.2987573,-90.1848103,Jackson Mississippi,
73209,35.262082,-81.1873005,Gastonia North Carolina,
62316,29.2108147,-81.0228331,Daytona Beach Florida,
467007,39.0997265,-94.5785667,Kansas City Missouri,
56540,40.0455917,-86.0085955,Noblesville Indiana,
50997,34.9889818,-90.0125913,Southaven Mississippi,
80988,34.0122346,-117.688944,Chino California,
65690,39.1434406,-77.2013705,Gaithersburg Maryland,
56707,33.7091847,-117.9536697,Fountain Valley California,
66893,39.4142688,-77.4105409,Frederick Maryland,
89130,35.612661,-77.3663538,Greenville North Carolina,
43849,41.9294736,-88.7503647,DeKalb Illinois,
60697,43.0166806,-88.0070315,West Allis Wisconsin,
127359,39.8680412,-104.9719243,Thornton Colorado,
61255,41.5772115,-93.711332,West Des Moines Iowa,
88697,41.7014912,-71.1550451,Fall River Massachusetts,
61170,36.2077288,-119.3473379,Tulare California,
256780,32.6400541,-117.0841955,Chula Vista California,
126604,26.271192,-80.2706044,Coral Springs Florida,
83506,35.4087517,-80.579511,Concord North Carolina,
53438,33.8839926,-84.5143761,Smyrna Georgia,
45587,28.6934076,-81.5322149,Apopka Florida,
54932,47.9252568,-97.0328547,Grand Forks North Dakota,
39325,39.7136754,-82.5993294,Lancaster Ohio,
144864,41.7508391,-88.1535352,Naperville Illinois,
146526,26.0112014,-80.1494901,Hollywood Florida,
60112,36.3320196,-94.1185366,Rogers Arkansas,
378715,29.9510658,-90.0715323,New Orleans Louisiana,
59097,47.1717649,-122.518458,Lakewood Washington,
57073,41.719978,-87.7479528,Oak Lawn Illinois,
48957,43.6629384,-116.6873596,Caldwell Idaho,
609456,45.5230622,-122.6764816,Portland Oregon,
125880,37.9779776,-122.0310733,Concord California,
49858,47.4703767,-122.3467918,Burien Washington,
67569,38.7881062,-90.4974359,St. Charles Missouri,
71016,43.0116784,-88.2314813,Waukesha Wisconsin,
68667,35.1982836,-111.651302,Flagstaff Arizona,
38609,47.1853785,-122.2928974,Puyallup Washington,
65902,42.8142432,-73.9395687,Schenectady New York,
649495,39.7392358,-104.990251,Denver Colorado,
117006,39.7817213,-89.6501481,Springfield Illinois,
40584,37.2871651,-121.9499568,Campbell California,
201175,33.9424658,-117.2296717,Moreno Valley California,
55870,39.6895036,-84.1688274,Kettering Ohio,
37313,42.2505943,-83.1785361,Lincoln Park Michigan,
52844,34.483901,-114.3224548,Lake Havasu City Arizona,
66075,34.769536,-92.2670941,North Little Rock Arkansas,
233294,39.5296329,-119.8138027,Reno Nevada,
44275,39.613321,-105.0166498,Littleton Colorado,
40590,34.5400242,-112.4685025,Prescott Arizona,
52105,37.7021521,-121.9357918,Dublin California,
37442,33.425125,-94.0476882,Texarkana Texas,
66318,43.661471,-70.2553259,Portland Maine,
78373,45.0941315,-93.3563405,Brooklyn Park Minnesota,
55046,41.2705484,-72.9469711,West Haven Connecticut,
43363,32.792,-115.5630514,El Centro California,
39458,33.0806083,-96.8928309,The Colony Texas,
99763,43.0125274,-83.6874562,Flint Michigan,
66695,38.0279762,-121.8846806,Pittsburg California,
56683,33.3703197,-112.5837766,Buckeye Arizona,
40963,33.9166805,-117.9000604,Brea California,
83539,33.7205771,-116.2155619,Indio California,
